frame,t_s,true_angle_deg,n_features,n_rigid_bodies,rb_ids,n_joints,most_likely,prism_p,rev_p,rigid_p,discon_p,rev_joint_value_rad,prism_joint_value_m,rev_pos_x,rev_pos_y,rev_pos_z,rev_ori_x,rev_ori_y,rev_ori_z,rev_pos_world_x,rev_pos_world_y,rev_pos_world_z,rev_ori_world_x,rev_ori_world_y,rev_ori_world_z
0,0.0,0.0,200,1,0,0,,,,,,,,,,,,,,,,,,,
1,0.03333333333333333,0.0,200,1,0,0,,,,,,,,,,,,,,,,,,,
2,0.06666666666666667,0.0,200,1,0,0,,,,,,,,,,,,,,,,,,,
3,0.1,0.0,200,1,0,0,,,,,,,,,,,,,,,,,,,
4,0.13333333333333333,0.0,200,1,0,0,,,,,,,,,,,,,,,,,,,
5,0.16666666666666666,0.0,200,1,0,0,,,,,,,,,,,,,,,,,,,
6,0.2,0.0,200,1,0,0,,,,,,,,,,,,,,,,,,,
7,0.23333333333333334,0.0,200,1,0,0,,,,,,,,,,,,,,,,,,,
8,0.26666666666666666,0.0,200,1,0,0,,,,,,,,,,,,,,,,,,,
9,0.3,0.0,200,1,0,0,,,,,,,,,,,,,,,,,,,
10,0.3333333333333333,0.0,200,1,0,0,,,,,,,,,,,,,,,,,,,
11,0.36666666666666664,0.0,200,1,0,0,,,,,,,,,,,,,,,,,,,
12,0.4,0.0,200,1,0,0,,,,,,,,,,,,,,,,,,,
13,0.43333333333333335,0.0,200,1,0,0,,,,,,,,,,,,,,,,,,,
14,0.4666666666666667,0.0,200,1,0,0,,,,,,,,,,,,,,,,,,,
15,0.5,0.0,200,1,0,0,,,,,,,,,,,,,,,,,,,
16,0.5333333333333333,0.6000000000000001,200,1,0,0,,,,,,,,,,,,,,,,,,,
17,0.5666666666666667,1.2000000000000002,200,1,0,0,,,,,,,,,,,,,,,,,,,
18,0.6,1.8,200,1,0,0,,,,,,,,,,,,,,,,,,,
19,0.6333333333333333,2.4000000000000004,200,1,0,0,,,,,,,,,,,,,,,,,,,
20,0.6666666666666666,3.0,200,1,0,0,,,,,,,,,,,,,,,,,,,
21,0.7,3.6,200,1,0,0,,,,,,,,,,,,,,,,,,,
22,0.7333333333333333,4.2,200,1,0,0,,,,,,,,,,,,,,,,,,,
23,0.7666666666666667,4.800000000000001,200,1,0,0,,,,,,,,,,,,,,,,,,,
24,0.8,5.3999999999999995,200,1,0,0,,,,,,,,,,,,,,,,,,,
25,0.8333333333333334,6.0,200,1,0,0,,,,,,,,,,,,,,,,,,,
26,0.8666666666666667,6.6,200,1,0,0,,,,,,,,,,,,,,,,,,,
27,0.9,7.2,200,1,0,0,,,,,,,,,,,,,,,,,,,
28,0.9333333333333333,7.8,200,1,0,0,,,,,,,,,,,,,,,,,,,
29,0.9666666666666667,8.4,200,1,0,0,,,,,,,,,,,,,,,,,,,
30,1.0,9.0,200,2,0;2,0,,,,,,,,,,,,,,,,,,,
31,1.0333333333333334,9.600000000000001,200,2,0;2,0,,,,,,,,,,,,,,,,,,,
32,1.0666666666666667,10.2,200,2,0;2,0,,,,,,,,,,,,,,,,,,,
33,1.1,10.799999999999999,200,2,0;2,0,,,,,,,,,,,,,,,,,,,
34,1.1333333333333333,11.4,200,2,0;2,1,JointType.Prismatic,0.8261327147483826,5.131420099851536e-19,0.0,0.17386727035045624,0.05070800784844421,0.32460790210534624,-0.07954484082444316,-2.3810243697283453,5.939844938123683,-0.06196707645453487,-0.9261316587019726,-0.3720755732181445,-3.6041820241396763,2.1937117222780875,1.7293732405804496,0.059867909517195006,-0.10791706755384367,0.9923556519416918
35,1.1666666666666667,12.0,200,2,0;2,1,JointType.Prismatic,0.7833834886550903,5.503902631611461e-19,0.0,0.21661652624607086,0.03615566702434596,0.273077179501005,-0.1045770262393682,-2.3787479359936468,5.938347645521557,-0.04360575366808138,-0.92805747241792,-0.3698754738236914,-3.615246726371067,2.17116350599484,1.7275886820057402,0.06701378373063391,-0.09079849670778206,0.9936119895541271
36,1.2,12.600000000000001,200,2,0;2,1,JointType.Prismatic,0.7985126972198486,5.275740369275194e-19,0.0,0.20148727297782898,0.03604524792807026,0.26983286709406384,-0.12201973488832016,-2.377505021721386,5.937209864873445,-0.037456390397577935,-0.9288619914527138,-0.3685273662197732,-3.622958698506707,2.1554528270665814,1.7267012592790134,0.06886467594769627,-0.08474154004951281,0.9940203860065727
37,1.2333333333333334,13.2,200,2,0;2,1,JointType.Prismatic,0.8050352334976196,5.403514441508377e-19,0.0,0.19496478140354156,0.03583709406277711,0.2645113443052173,-0.14008523805621786,-2.3762977636309617,5.935897476789231,-0.033553911655940204,-0.9294596839713786,-0.3673946527705736,-3.6308539607893793,2.1391262260031167,1.7258955481073937,0.06978991747937349,-0.08074881817280372,0.9942881854783944
38,1.2666666666666666,13.799999999999999,200,2,0;2,1,JointType.Prismatic,0.8088456392288208,5.485408424078424e-19,0.0,0.1911543607711792,0.03671636002812873,0.27062042099843275,-0.15806669745257437,-2.375198339203373,5.934626096896301,-0.03049965392112061,-0.930044681786993,-0.3661784551150201,-3.6387651574467017,2.122907023173039,1.725182491354437,0.07021429524070175,-0.07744495667911587,0.9945211065778451
39,1.3,14.4,200,2,0;2,1,JointType.Prismatic,0.8093906044960022,5.327761241010771e-19,0.0,0.19060936570167542,0.039022136813933336,0.2889724287812316,-0.17727214209779893,-2.374045368355549,5.933125120555637,-0.027256128516215034,-0.9307809895794537,-0.364559807021839,-3.647101609729067,2.1055161706491083,1.72448021818346,0.07036786401556239,-0.07375896764820071,0.9947904193373391
